080058	???
8C94CF	Encell Technology, Inc.
20B0F7	Enclustra GmbH
08004C	Encore
00E07D	Encore (Netronix?)
00190C	Encore Electronics, Inc.
00A0EB	Encore Networks, Inc.
00183C	Encore Software Limited
0025FC	ENDA ENDUSTRIYEL ELEKTRONIK LTD. STI.
000EA7	Endace Technology
F8313E	endeavour GmbH
000F3C	Endeleo Limited
000A03	ENDESA SERVICIOS, S.L.
001286	ENDEVCO CORP
80C6CA	Endian s.r.l.
0002CA	EndPoints, Inc.
000705	Endress & Hauser GmbH & Co
000EFE	EndRun Technologies LLC
34C69A	Enecsys Ltd
0003FB	ENEGATE Co.,Ltd.
94D93C	Enelps
0019DC	ENENSYS Technologies
549D85	EnerAccess inc
001265	Enerdyne Technologies, Inc.
B8BB6D	ENERES Co.,Ltd.
DCDD24	Energica Motor Co SpA
E8E1E2	Energotest
C4C919	Energy Imports Ltd
D0CF5E	Energy Micro AS
00252F	Energy, Inc.
0026C0	EnergyHub
002428	EnergyICT
0008AB	EnerLinx.com, Inc.
0017AF	Enermet
2453BF	Enernet
000A3C	Enerpoint Ltd.
00250C	Enertrac
FCDB96	ENERVALLEY CO., LTD
00C0F7	Engage Communication, Inc.
00E09B	ENGAGE NETWORKS, INC.
002613	Engel Axil S.L.
0050D9	ENGETRON-ENGENHARIA ELETRONICA IND. e COM. LTDA
9C53CD	ENGICAM s.r.l.
00134A	Engim, Inc.
000D78	Engineering & Security
0060BD	Enginuity Communications
5C4A26	Enguity Technology Corp
78BEB6	Enhanced Vision
C0EEB5	Enice Network.
283410	Enigma Diagnostics Limited
A0E5E9	enimai Inc
000128	EnjoyWeb, Inc.
6854F5	enLighted Inc
7C7673	ENMAS GmbH
7CD844	Enmotus Inc
00014B	Ennovate Networks, Inc.
D862DB	Eno Inc.
346FED	Enovation Controls
001DC0	Enphase Energy
009036	ens, inc.
000151	Ensemble Communications
B0A72A	Ensemble Designs, Inc.
78524A	Ensenso GmbH
0021F8	Enseo, Inc.
B4AA4D	Ensequence, Inc.
0030E8	ENSIM CORP.
AC6F4F	Enspert Inc
000695	Ensure Technologies, Inc.
0014B6	Enswer Technology Inc.
0090CD	ENT-EMPRESA NACIONAL DE TELECOMMUNICACOES, S.A.
3C6FF7	EnTek Systems, Inc.
001188	Enterasys
0001F4	Enterasys
001F45	Enterasys
20B399	Enterasys
7C444C	Entertainment Solutions, S.L.
001F43	ENTES ELEKTRONIK
145412	Entis Co., Ltd.
0009B8	Entise Systems
0003E6	Entone, Inc.
002253	Entorian Technologies
00252C	Entourage Systems, Inc.
0003B5	Entra Technology Co.
00E0B6	Entrada Networks
0010B6	ENTRATA COMMUNICATIONS CORP.
0050F8	ENTREGA TECHNOLOGIES, INC.
000F54	Entrelogic Corporation
009049	ENTRIDIA CORPORATION
000863	Entrisphere Inc.
00098B	Entropic Communications, Inc.
241148	Entropix, LLC
001C00	Entry Point, LLC
8897DF	Entrypass Corporation Sdn. Bhd.
0008E4	Envenergy Inc
A05B21	ENVINET GmbH
BA4DEA	Environexus
BC6784	Environics Oy
000B22	Environmental Systems and Services
001CED	ENVIRONNEMENT SA
001C2A	Envisacor Technologies Inc.
AC9403	Envision Peripherals Inc
00270F	Envisionnovation Inc
9C3EAA	EnvyLogic Co.,Ltd.
000C2C	Enwiser Inc.
001C97	Enzytek Technology Inc.,
0018F4	EO TECHNICS Co., Ltd.
A4466B	EOC Technology
10768A	Eocell
2C9AA4	Eolo SpA
0007AC	Eolring
001679	eOn Communications
00232A	EonasIt-               # eonas IT-Beratung und -Entwicklung GmbH
0018C9	EOps Technology Limited
70EEA3	Eoptolink Tech Inc Ltd,
8A00B0	Eoptolink Tech Inc Ltd,
00C0DC	EOS Technologies, Inc.
BCE09D	Eoslink
FC2325	EosTek (Shenzhen) Co., Ltd.
00119C	EP&T Energy
EC63E5	ePBoard Design LLC
C04301	Epec Oy
00A0A1	EPIC DATA INC.
001EE7	Epic Systems Inc
000ED3	Epicenter, Inc.
1C0B52	EPICOM S.A
001305	Epicom, Inc.
00904C	Epigram, Inc.
00D0D2	EPILOG CORPORATION
001115	EPIN Technologies, Inc.
000AA8	ePipe Pty. Ltd.
00E071	EPIS MICROCOMPUTER
0018DB	EPL Technology Ltd
000097	Epoch
000461	EPOX Computer Co., Ltd.
000920	EpoX COMPUTER CO.,LTD.
00133F	Eppendorf Instrumente GmbH
0022C4	epro GmbH
0005D3	eProduction Solutions, Inc.
00111E	EPSG (Ethernet Powerlink Standardization Group)
64EB8C	Epson
000048	Epson
B0E892	Epson
F8D027	Epson
0026AB	Epson
9CAED3	Epson
389D92	Epson
A4EE57	Epson
44D244	Epson
AC1826	Epson
381A52	Epson
50579C	Epson
702A7D	EpSpot AB
0009BD	Epygi Technologies, Ltd.
001A22	eQ-3 Entwicklung GmbH
0023BC	EQ-SYS GmbH
001B69	Equaline Corporation
00098A	EqualLogic Inc
0007B1	Equator Technologies
E0D31A	EQUES Technology Co., Limited
003074	EQUIINET LTD.
645422	Equinox Payments
00807D	Equinox Systems Inc
000100	EQUIP'TRANS
0002F6	Equipe Communications
002580	Equipson S.A.
40D63C	Equitech Industrial(DongGuan)Co, Ltd
0004B5	Equitrac Corporation
0019C2	Equustek Solutions, Inc.
3441A8	ER-Telecom
000A64	Eracom Technologies
0018CD	Erae Electronics Industry Co., Ltd
A0AAFD	EraThink Technologies Corp.
2C3427	ERCO & GENER
001A93	ERCO Leuchten GmbH
683EEC	Ereca
0040A1	ERGO COMPUTING
74E06E	Ergophone GmbH
6C14F7	Erhardt+               # Erhardt+Leimer GmbH
00806A	ERI (Empac Research Inc.)
000D67	Ericsson
74D0DC	Ericsson
003088	Ericsson
0015E0	Ericsson
78D347	Ericsson
008037	Ericsson
001067	Ericsson
74C99A	Ericsson
0020AA	Ericsson
903809	Ericsson
3407FB	Ericsson
044E06	Ericsson
00023B	Ericsson
B40EDC	Ericsson
348446	Ericsson
C835B8	Ericsson
0001EC	Ericsson
987A10	Ericsson
3C197D	Ericsson
D0F0DB	Ericsson
AC60B6	Ericsson
346E9D	Ericsson
98A404	Ericsson
549B72	Ericsson
9055AE	Ericsson
B061C7	Ericsson
A4A1C2	Ericsson
98C5DB	Ericsson
98FE03	Ericsson
0001F5	ERIM S.A.
0021A5	ERLPhase Power Technologies Ltd.
000E0F	Ermme
00209B	ERSAT ELECTRONIC GMBH
0008BA	Erskine Systems Ltd
00123E	ERUNE technology Co., Ltd.
A4D094	Erwin Peters Systemtechnik GmbH
502B98	Es-Tech International
3CAE69	ESA Elektroschaltanlagen Grimma GmbH
000E0E	ESA elettronica S.P.A.
0024B0	ESAB AB
F0224E	Esan electronic co.
00221F	eSang Technologies Co., Ltd.
00E0A4	ESAOTE S.p.A.
0090F6	ESCALATE NETWORKS, INC.
0018EF	Escape Communications, Inc.
0024B4	ESCATRONIC GmbH
002139	Escherlogic Inc.
D8760A	Escort, Inc.
000227	ESD Electronic System Design GmbH
000170	ESE Embedded System Engineer'g
7CE56B	ESEN Optoelectronics Technology Co.,Ltd.
8CDB25	ESG Solutions
00304D	Esi
000216	ESI (Extended Systems, Inc)
30F42F	Esp
0021EB	ESP SYSTEMS, LLC
0009DB	Espace
38BF2F	Espec Corp.
00080A	Espera-Werke GmbH
F4DE0C	ESPOD Ltd.
28CD1C	Espotel Oy
84F3EB	Espressif Inc
A47B9D	Espressif Inc
D8F15B	Espressif Inc
2C3AE8	Espressif Inc
807D3A	Espressif Inc
A4CF12	Espressif Inc
C82B96	Espressif Inc
4C11AE	Espressif Inc
68C63A	Espressif Inc
98F4AB	Espressif Inc
D8BFC0	Espressif Inc
246F28	Espressif Inc
840D8E	Espressif Inc
BCDDC2	Espressif Inc
DC4F22	Espressif Inc
2CF432	Espressif Inc
B4E62D	Espressif Inc
D8A01D	Espressif Inc
2462AB	Espressif Inc
C44F33	Espressif Inc
CC50E3	Espressif Inc
3C71BF	Espressif Inc
ECFABC	Espressif Inc
500291	Espressif Inc
24B2DE	Espressif Inc
18FE34	Espressif Inc.
600194	Espressif Inc.
A020A6	Espressif Inc.
545AA6	Espressif Inc.
5CCF7F	Espressif Inc.
ACD074	Espressif Inc.
240AC4	Espressif Inc.
9097D5	Espressif Inc.
30AEA4	Espressif Inc.
008014	ESPRIT SYSTEMS
00019E	ESS Technology, Inc.
F0EC39	Essec
0004B2	ESSEGI SRL
18A28A	Essel-T Co, Ltd
0018BF	Essence Technology Solution, Inc.
00266A	ESSENSIUM NV
001763	Essentia S.p.A.
00A088	ESSENTIAL COMMUNICATIONS
10CDB6	Essential Products, Inc
001A12	Essilor
8007A2	Esson Technology Inc.
28CF08	eSSys
688470	eSSys
A8B9B3	eSSys
00A01E	EST CORPORATION
0011EE	Estari, Inc.
60DA23	Estech Co.,Ltd
000906	Esteem Networks
00043F	ESTeem Wireless Modems, Inc
001984	ESTIC Corporation
8C8A6E	ESTUN AUTOMATION TECHNOLOY CO., LTD
001494	ESU AG
00258C	ESUS ELEKTRONIK SAN. VE DIS. TIC. LTD. STI.
000B76	ET&T Technology Co. Ltd.
187117	eta plus electronic gmbh
0002E0	ETAS GmbH
28A1EB	ETEK TECHNOLOGY (SHENZHEN) CO.,LTD
0003CE	ETEN Technologies, Inc.
48EB30	ETERNA TECHNOLOGY, INC.
747B7A	ETH Inc.
0C5331	Eth Zurich
70169F	EtherCAT Tech Group
00A0EA	ETHERCOM CORP.
0018A9	Ethernet Direct Corporation
00151E	Ethernet Powerlink Standardization Group (EPSG)
001F42	Etherstack plc
000A2B	Etherstuff
6C05D5	Ethertronics Inc
00E0B3	EtherWAN Systems, Inc.
001AB7	Ethos Networks LTD.
48881E	EthoSwitch Llc
000AB4	ETIC Telecommunications
000BBB	Etin Systems Co., Ltd
001EEE	ETL Systems Ltd
000647	Etrali S.A.
00908C	ETREND ELECTRONICS, INC.
3C4E47	Etronic A/S
00196C	ETROVISION TECHNOLOGY
A036FA	Ettus Research LLC
000567	Etymonic Design, Inc.
0017D3	Etymotic Research, Inc.
00147A	Eubus GmbH
0CC47E	EUCAST Co., Ltd.
001A5C	Euchner GmbH+Co. KG
542F89	Euclid Laboratories, Inc.
CCF407	EUKREA ELECTROMATIQUE SARL
F84A73	EUMTECH CO., LTD
001C85	Eunicorn
002679	Euphonic Technologies, Inc.
0090D5	EUPHONIX, INC.
000690	Euracom Communication GmbH
FC1FC0	Eurecam
001076	EUREM GmbH
0011DE	EURILOGIC
0019B6	Euro Emme s.r.l.
001330	EURO PROTECTION SURVEILLANCE
001674	EuroCB (Phils.), Inc.
8462A6	EuroCB (Phils), Inc.
000FC6	Eurocom Industries A/S
002594	Eurodesign BG LTD
0025A4	EuroDesign embedded technologies GmbH
000339	Eurologic Systems, Ltd.
3876D1	Euronda SpA
00071F	European Systems Integration
000FB6	Europlex Technologies
00600C	Eurotech Inc.
00E0C7	EUROTECH SRL
001B3D	EuroTel Spa
00D04C	EUROTEL TELECOM LTD.
000488	Eurotherm Controls
080048	Eurotherm Gauging Systems
000A8D	EUROTHERM LIMITED
00203C	EUROTIME AB
00118F	EUTECH INSTRUMENTS PTE. LTD.
1423D7	EUTRONIX CO., LTD.
A4BE61	EutroVision System, Inc.
080057	Evans & Sutherland (?)
94857A	Evantage Industries Corp
0015F4	Eventide
001EB5	Ever Sparkle Technologies Ltd
78B5D2	Ever Treasure Industrial Limited
000EBB	Everbee Networks
00063F	Everex Communications Inc.
C46044	Everex Electronics Limited
001114	EverFocus Electronics Corp.
00407E	EVERGREEN SYSTEMS, INC.
00206C	EVERGREEN TECHNOLOGY CORP.
FC2F6B	Everspin Tech, Inc
0025E2	Everspring Industry Co., Ltd.
0002C5	Evertz Microsystems Ltd.
349E34	Evervictory Electronic Co.Ltd
44FDA3	Everysight LTD.
001FBC	EVGA Corporation
345B11	EVI HEAT AB
E07F88	EVIDENCE Network SIA
002246	Evoc Intelligent Technology Co.,Ltd.
001AFD	Evolis
8C4CAD	Evoluzn Inc
64628A	evon GmbH
0001CB	Evr
74D850	Evrisko Systems
58E636	EVRsafe Technologies
001CF3	EVS BROADCAST EQUIPMENT
0021F0	EW3 Technologies LLC
000FD2	EWA Technologies, Inc.
50F8A5	eWBM Co, Ltd
0011D7	eWerks Inc
001AAB	eWings s.r.l.
60BC4C	EWM Hightec Welding GmbH
643F5F	Exablaze
B46238	Exablox
00D080	EXABYTE CORPORATION
001C93	ExaDigm Inc
001709	Exalt Communications
889765	exands
00BD27	Exar Corp.
0015CD	Exartech International Corp.
00139C	Exavera Technologies, Inc.
0008E8	Excel Master Ltd.
00201C	EXCEL, INC.
080014	Excelan
08006E	Excelan
00E0D4	EXCELLENT COMPUTER
001C7D	Excelpoint Manufacturing Pte Ltd
58DC6D	Exceptional Innovation, Inc.
002202	Excito Elektronik i Skåne AB
00E050	EXECUTONE INFORMATION SYSTEMS, INC.
001CDA	Exegin Technologies Limited
0010D6	Exelis
0024CE	Exeltech Inc
8C5AF0	Exeltech Solar Products
000BFA	EXEMYS SRL
001DCB	Exéns Development Oy
001651	Exeo Systems
000301	Exfo
00C0A6	EXICOM AUSTRALIA PTY. LTD
0002DA	ExiO Communications, Inc.
28A241	exlar corp
F0D9B2	EXO S.A.
0060F1	EXP COMPUTER, INC.
003002	Expand Networks
080051	Experdata
00017F	Experience Music Project
DCE578	Experimental Factory of Scientific Engineering and Special Design Department
0030ED	Expert Magnetics Corp.
001872	Expertise Engineering
000A11	ExPet Technologies, Inc
DCCBA8	Explora Technologies Inc
744BE9	EXPLORER HYPERTECH CO.,LTD
E08A7E	Exponent
001483	eXS Inc.
0080FD	EXSCEED CORPRATION
0014FC	Extandon, Inc.
000C79	Extel Communications P/L
004068	Extended Systems
00407D	EXTENSION TECHNOLOGY CORP.
0004CD	Extenway Solutions Inc
00181C	Exterity Limited
000115	EXTRATECH CORPORATION
00173C	Extreme Engineering Solutions
FC0A81	Extreme Networks
B85001	Extreme Networks
000130	Extreme Networks
D88466	Extreme Networks
B4C799	Extreme Networks
000496	Extreme Networks
00E02B	Extreme Networks
7467F7	Extreme Networks
5C0E8B	Extreme Networks
489BD5	Extreme Networks, Inc
001977	Extreme Networks, Inc
885BDD	Extreme Networks, Inc
348584	Extreme Networks, Inc
5859C2	Extreme Networks, Inc
4018B1	Extreme Networks, Inc
7C95B1	Extreme Networks, Inc
F46E95	Extreme Networks, Inc
08EA44	Extreme Networks, Inc
787D53	Extreme Networks, Inc
F4EAB5	Extreme Networks, Inc
206C8A	Extreme Networks, Inc
887E25	Extreme Networks, Inc
C8675E	Extreme Networks, Inc
949B2C	Extreme Networks, Inc
C8665D	Extreme Networks, Inc
BCF310	Extreme Networks, Inc
DCB808	Extreme Networks, Inc
90B832	Extreme Networks, Inc
D854A2	Extreme Networks, Inc
A4EA8E	Extreme Networks, Inc
F09CE9	Extreme Networks, Inc
9C5D12	Extreme Networks, Inc
E01C41	Extreme Networks, Inc
B42D56	Extreme Networks, Inc
B87CF2	Extreme Networks, Inc
C413E2	Extreme Networks, Inc
000EE1	ExtremeSpeed Inc.
0013A6	Extricom Ltd
0005A6	Extron Electronics
00E017	EXXACT GmbH
080013	Exxon
000BDA	EyeCross Co.,Inc.
605464	Eyedro Green Solutions Inc
001856	EyeFi, Inc
001D76	Eyeheight Ltd.
002150	EYEVIEW ELECTRONICS
1C19DE	eyevis GmbH
000396	EZ Cast Co., Ltd.
000118	EZ Digital Co., Ltd.
6C71BD	EZELINK TELECOM
C83168	eZEX corporation
000EF1	EZQUEST INC.
001CBD	Ezze Mobile Tech., Inc.
000551	F & S Elektronik Systeme GmbH
002353	F E T Elettronica snc
F02745	F-Secure Corporation
784B08	f.robotics acquisitions ltd
001901	F1media
000329	F3, Inc.
0094A1	F5 Networks, Inc
0023E9	F5 Networks, Inc.
0001D7	F5 Networks, Inc.
F41563	F5 Networks, Inc.
000A49	F5 Networks, Inc.
0017FB	Fa
00C03E	Fa. Gebr. Heller Gmbh
000AB3	Fa. GIRA
000406	Fa. Metabox AG
0004A7	FabiaTech Corporation
000DA5	Fabric7 Systems, Inc
00072C	Fabricom
4857DD	Facebook
A40E2B	Facebook Inc
004011	Facilities Andover Environmental Controllers
0010CB	FACIT K.K.
001592	Facom UK Ltd (Melksham)
6052D0	FACTS Engineering
000D90	Factum Electronics AB
000C21	Faculty of Science and Technology, Keio University
EC6F0B	Fadu, Inc
F43D80	FAG Industrial Services GmbH
000BCB	Fagor Automation , S. Coop
2C3A28	Fagor Electrónica
70DEF9	Fai Wah International (Hong Kong) Ltd
C0A0C7	FAIRFIELD INDUSTRIES
00165F	Fairmount Automation
84CFBF	Fairphone
001B79	FAIVELEY TRANSPORT
0080CB	FALCO DATA PRODUCTS
001792	Falcom Wireless Comunications Gmbh
000D77	FalconStor Software
0009D8	Fält Communications AB
0019B5	Famar Fueguina S.A.
78FC14	Family Zone Cyber Safety Ltd
002274	FamilyPhone AB
388EE7	Fanhattan LLC
001807	Fanstel Corp.
0080D7	Fantum Electronics
00E0E4	FANUC ROBOTICS NORTH AMERICA, Inc.
0C383E	Fanvil Technology Co., Ltd.
78AE0C	Far South Networks
00E06E	FAR SYSTEMS S.p.A.
900917	Far-sighted mobile
0000C5	Farallon Computing Inc
001AD1	FARGO CO., LTD.
001344	Fargo Electronics Inc.
4423AA	Farmage Co., Ltd.
DA0D38	Farpointe Data, Inc
0024CC	Fascinations Toys and Gifts, Inc.
003028	FASE Saldatura srl
58DB8D	Fast Co., Ltd.
000540	FAST Corporation
0016DE	FAST Inc
000A10	FAST media integrations AG
0050BE	FAST MULTIMEDIA AG
0001E0	Fast Systems, Inc.
000F8D	FAST TV-Server AG
1848D8	Fastback Networks
A41BC0	Fastec Imaging Corporation
001A3E	Faster Technology LLC
000388	Fastfame Technology Co., Ltd.
001209	Fastrax Ltd
0008B3	Fastwel
F87B62	FASTWEL INTERNATIONAL CO., LTD. Taiwan Branch
000864	Fasy S.p.A.
700136	FATEK Automation Corporation
FC3598	Favite Inc.
ECFA03	Fca
FC7CE7	FCI USA LLC
0026DE	FDI MATELEC
0050AE	FDK Co., Ltd
F485C6	FDT Technologies
DCCE41	FE GLOBAL HONG KONG LIMITED
000776	Federal APD
001F0B	Federal State Unitary Enterprise Industrial UnionElectropribor
00140F	Federal State Unitary Enterprise Leningrad R&D Institute of
006005	FEEDBACK DATA LTD.
000AA7	FEI Electron Optics
0019DD	FEI-Zyfer, Inc.
001C9B	FEIG ELECTRONIC GmbH
E034E4	Feit Electric Company, Inc.
6447E0	Feitian Tech Co, Ltd
5CE0CA	FeiTian United (Beijing) System Technology Co., Ltd.
9C5711	Feitian Xunda(Beijing) Aeronautical Information Technology Co., Ltd.
00261A	Femtocomm System Technology Corp.
000210	Fenecom
B0F1A3	Fengfan (BeiJing) Technology Co., Ltd.
A45602	fenglian Technology Co.,Ltd.
204005	feno GmbH
2804E0	FERMAX ELECTRONICA S.A.U.
000855	Fermilab
008055	Fermilab
00D000	FERRAN SCIENTIFIC, INC.
080040	FERRANTI COMPUTER SYS. LIMITED
000EF0	Festo AG & Co. KG
001AB4	FFEI Ltd.
845A81	Ffly4u
000C20	Fi WIn, Inc.
AC1702	Fibar Group sp. z o.o.
000354	Fiber Logic Communications
D45556	Fiber Mountain Inc.
5808FA	Fiber Optic & telecommunication INC.
0021B2	Fiberblaze A/S
00807C	Fibercom
000419	Fibercycle Networks, Inc.
00C0E7	Fiberdata AB
982DBA	Fibergate Inc.
EC8AC7	Fiberhome Telecommunication Tech Co, Ltd
006762	Fiberhome Telecommunication Tech Co, Ltd
9CFEA1	Fiberhome Telecommunication Tech Co, Ltd
E85AD1	Fiberhome Telecommunication Tech Co, Ltd
002FD9	Fiberhome Telecommunication Tech Co, Ltd
C464B7	Fiberhome Telecommunication Tech Co, Ltd
D041C9	Fiberhome Telecommunication Tech Co, Ltd
94D505	Fiberhome Telecommunication Tech Co, Ltd
D05995	Fiberhome Telecommunication Tech Co, Ltd
C03656	Fiberhome Telecommunication Tech Co, Ltd
C84029	Fiberhome Telecommunication Tech Co, Ltd
A41908	Fiberhome Telecommunication Tech Co, Ltd
D4FC13	Fiberhome Telecommunication Tech Co, Ltd
FC61E9	Fiberhome Telecommunication Tech Co, Ltd
00BE9E	Fiberhome Telecommunication Tech Co, Ltd
D4F786	Fiberhome Telecommunication Tech Co, Ltd
FCA6CD	Fiberhome Telecommunication Tech Co, Ltd
142233	Fiberhome Telecommunication Tech Co, Ltd
F8AFDB	Fiberhome Telecommunication Tech Co, Ltd
54DF24	Fiberhome Telecommunication Tech Co, Ltd
80C7C5	Fiberhome Telecommunication Tech Co, Ltd
10DC4A	Fiberhome Telecommunication Tech Co, Ltd
D45800	Fiberhome Telecommunication Tech Co, Ltd
28BF89	Fiberhome Telecommunication Tech Co, Ltd
74E19A	Fiberhome Telecommunication Tech Co, Ltd
0C2A86	Fiberhome Telecommunication Tech Co, Ltd
F84D33	Fiberhome Telecommunication Tech Co, Ltd
24CACB	Fiberhome Telecommunication Tech Co, Ltd
6C9E7C	Fiberhome Telecommunication Tech Co, Ltd
14E9B2	Fiberhome Telecommunication Tech Co, Ltd
CC0677	Fiberhome Telecommunication Tech Co, Ltd
48A0F8	Fiberhome Telecommunication Tech Co, Ltd
74EC42	Fiberhome Telecommunication Tech Co, Ltd
04ECBB	Fiberhome Telecommunication Tech Co, Ltd
C8F6C8	Fiberhome Telecommunication Tech Co, Ltd
583BD9	Fiberhome Telecommunication Tech Co, Ltd
6C3845	Fiberhome Telecommunication Tech Co, Ltd
1C60D2	Fiberhome Telecommunication Tech Co, Ltd
E8D099	Fiberhome Telecommunication Tech Co, Ltd
543E64	Fiberhome Telecommunication Tech Co, Ltd
803AF4	Fiberhome Telecommunication Tech Co, Ltd
1CDE57	Fiberhome Telecommunication Tech Co, Ltd
E8C417	Fiberhome Telecommunication Tech Co, Ltd
3CFB5C	Fiberhome Telecommunication Tech Co, Ltd
68FEDA	Fiberhome Telecommunication Tech Co, Ltd
18D225	Fiberhome Telecommunication Tech Co, Ltd
E8018D	Fiberhome Telecommunication Tech Co, Ltd
444B7E	Fiberhome Telecommunication Tech Co, Ltd
7412BB	Fiberhome Telecommunication Tech Co, Ltd
0C6ABC	Fiberhome Telecommunication Tech Co, Ltd
D092FA	Fiberhome Telecommunication Tech Co, Ltd
C4F0EC	Fiberhome Telecommunication Tech Co, Ltd
BCC00F	Fiberhome Telecommunication Technologies Co.,LTD
F08CFB	Fiberhome Telecommunication Technologies Co.,LTD
BC9889	Fiberhome Telecommunication Technologies Co.,LTD
D4AD2D	Fiberhome Telecommunication Technologies Co.,LTD
B0E2E5	Fiberhome Telecommunication Technologies Co.,LTD
D00492	Fiberhome Telecommunication Technologies Co.,LTD
A8E705	Fiberhome Telecommunication Technologies Co.,LTD
D467E7	Fiberhome Telecommunication Technologies Co.,LTD
B8C716	Fiberhome Telecommunication Technologies Co.,LTD
F0407B	Fiberhome Telecommunication Technologies Co.,LTD
A013CB	Fiberhome Telecommunication Technologies Co.,LTD
CC500A	Fiberhome Telecommunication Technologies Co.,LTD
9C88AD	Fiberhome Telecommunication Technologies Co.,LTD
F4573E	Fiberhome Telecommunication Technologies Co.,LTD
FCF647	Fiberhome Telecommunication Technologies Co.,LTD
20896F	Fiberhome Telecommunication Technologies Co.,LTD
E42F26	Fiberhome Telecommunication Technologies Co.,LTD
341A35	Fiberhome Telecommunication Technologies Co.,LTD
74C9A3	Fiberhome Telecommunication Technologies Co.,LTD
1C398A	Fiberhome Telecommunication Technologies Co.,LTD
F8C96C	Fiberhome Telecommunication Technologies Co.,LTD
48F97C	Fiberhome Telecommunication Technologies Co.,LTD
6CA858	Fiberhome Telecommunication Technologies Co.,LTD
1088CE	Fiberhome Telecommunication Technologies Co.,LTD
344B3D	Fiberhome Telecommunication Technologies Co.,LTD
809FAB	Fiberhome Telecommunication Technologies Co.,LTD
18A3E8	Fiberhome Telecommunication Technologies Co.,LTD
34BF90	Fiberhome Telecommunication Technologies Co.,LTD
60B617	Fiberhome Telecommunication Technologies Co.,LTD
04C1B9	Fiberhome Telecommunication Technologies Co.,LTD
48555F	Fiberhome Telecommunication Technologies Co.,LTD
88947E	Fiberhome Telecommunication Technologies Co.,LTD
105887	Fiberhome Telecommunication Technologies Co.,LTD
74CC39	Fiberhome Telecommunication Technologies Co.,LTD
1077B0	Fiberhome Telecommunication Technologies Co.,LTD
70B921	Fiberhome Telecommunication Technologies Co.,LTD
741E93	Fiberhome Telecommunication Technologies Co.,LTD
5CE3B6	Fiberhome Telecommunication Technologies Co.,LTD
0010CF	FIBERLANE COMMUNICATIONS
0040C6	Fibernet Research, Inc.
002575	FiberPlex Technologies, LLC
3C6F45	Fiberpro Inc.
8A34BC	Fiberworks AS
0090B6	FIBEX SYSTEMS
B436A9	Fibocom Wireless Inc.
A433D1	Fibrlink Communications Co.,Ltd.
000580	FibroLAN Ltd.
00000D	FIBRONICS LTD.
0050B5	FICHET-BAUCHE
6829DC	Ficosa Electronics S.L.U.
443C88	Ficosa Maroc International
90610C	Fida International (S) Pte Ltd
D493A0	Fidelix Oy
FC9FAE	Fidus Systems Inc
001E9C	Fidustron INC
7C96D2	Fihonest communication Co, Ltd
04FEA1	Fihonest communication co.,Ltd
40EF4C	Fihonest communication co.,Ltd
38B74D	Fijowave Limited
D43266	Fike Corporation
00D09A	FILANET CORPORATION
080034	FILENET CORPORATION
A4E0E6	FILIZOLA S.A. PESAGEM E AUTOMACAO
00094B	FillFactory NV
CC7498	Filmetrics Inc.
000ED2	Filtronic plc
000507	Fine Appliance Corp.
00C05F	FINE-PAL COMPANY LIMITED
00207E	FINECOM CO., LTD.
00071A	Finedigital Inc.
2C625A	Finest Security Systems Co., Ltd
000A5D	FingerTec Worldwide Sdn Bhd
C08488	Finis Inc
009065	FINISAR CORPORATION
000D0F	Finlux Ltd
0019FF	Finnzymes
942E63	Finsécur
001B83	Finsoft Ltd
C44AD0	FIREFLIES SYSTEMS
3809A4	Firefly Integrations
9C5C8D	FIREMAX INDÚSTRIA E COMÉRCIO DE PRODUTOS ELETRÔNICOS  LTDA
00A027	FIREPOWER SYSTEMS, INC.
0021DE	Firepro Wireless
0018C2	Firetide, Inc
000156	FIREWIREDIRECT.COM, INC.
A845E9	Firich Enterprises CO., LTD.
88D37B	FirmTek, LLC
9AD263	FirmTek, Llc
E8757F	FIRS Technologies(Shenzhen) Co., Ltd
000DC3	First Communication, Inc.
0040CA	FIRST INTERNAT'L COMPUTER, INC
00129D	First International Computer do Brasil
00140B	FIRST INTERNATIONAL COMPUTER, INC.
006091	FIRST PACIFIC NETWORKS, INC.
042DB4	First Property (Beijing) Co., Ltd Modern MOMA Branch
000F75	First Silicon Solutions
00A0B1	FIRST VIRTUAL CORPORATION
00091E	Firstech Technology Corp.
0040C3	Fischer and Porter Co.
34A7BA	Fischer International Systems Corporation
00A0DB	FISHER & PAYKEL PRODUCTION
008074	Fisher Controls
0022E5	Fisher-Rosemount Systems Inc.
10CD6E	Fisys
5C75AF	Fitbit
F051EA	Fitbit
1800DB	Fitbit
001A97	fitivision technology Inc.
001721	FITRE S.p.A.
44184F	Fitview
0026DD	Fival Science & Technology Co.,Ltd.
3C57D5	Fiveco
00D038	FIVEMERE, LTD.
0005C5	Flaga HF
88BD78	Flaircomm Microelectronics, Inc
04F8C2	Flaircomm Microelectronics, Inc.
001304	Flaircomm Technologies Co. LTD
000735	Flarion Technologies, Inc.
0006DE	Flash Technology
001D95	Flash, Inc.
489D18	Flashbay Limited
1C52D6	FLAT DISPLAY TECHNOLOGY CORPORATION
A424B3	FlatFrog Laboratories AB
0002A0	Flatstack Ltd.
103378	FLECTRON Co., LTD
486B91	Fleetwood Group Inc.
001654	Flex-P Industries Sdn. Bhd.
000FD9	FlexDSL Telecommunications AG
